GitHub Link,Matched Line
"https://github.com/equalizedigital/accessibility-checker/blob/5967ff727f93cd8ab7cd762b5972a48716d1dba9/includes/validate.php#L118","	do_action( 'edac_before_validate', $post_ID, $action );                 "
"https://github.com/equalizedigital/accessibility-checker/blob/5967ff727f93cd8ab7cd762b5972a48716d1dba9/includes/validate.php#L122","	do_action( 'edac_after_get_content', $post_ID, $content, $action );                 "
"https://github.com/equalizedigital/accessibility-checker/blob/5967ff727f93cd8ab7cd762b5972a48716d1dba9/includes/validate.php#L148","				do_action( 'edac_before_rule', $post_ID, $rule, $action );                 "
"https://github.com/equalizedigital/accessibility-checker/blob/5967ff727f93cd8ab7cd762b5972a48716d1dba9/includes/validate.php#L155","					do_action( 'edac_rule_errors', $post_ID, $rule, $errors, $action );                 "
"https://github.com/equalizedigital/accessibility-checker/blob/5967ff727f93cd8ab7cd762b5972a48716d1dba9/includes/validate.php#L164","				do_action( 'edac_after_rule', $post_ID, $rule, $action );                 "
"https://github.com/equalizedigital/accessibility-checker/blob/5967ff727f93cd8ab7cd762b5972a48716d1dba9/includes/validate.php#L182","	do_action( 'edac_after_validate', $post_ID, $action );                 "
"https://github.com/equalizedigital/accessibility-checker/blob/5967ff727f93cd8ab7cd762b5972a48716d1dba9/includes/validate.php#L297","	$no_verify_ssl = apply_filters( 'edac_no_verify_ssl', $is_local_loopback );                 "
"https://github.com/equalizedigital/accessibility-checker/blob/5967ff727f93cd8ab7cd762b5972a48716d1dba9/includes/classes/class-rest-api.php#L207","			do_action( 'edac_before_validate', $post_id, 'js' );                 "
"https://github.com/equalizedigital/accessibility-checker/blob/5967ff727f93cd8ab7cd762b5972a48716d1dba9/includes/classes/class-rest-api.php#L237","						do_action( 'edac_before_rule', $post_id, $rule_id, 'js' );                 "
"https://github.com/equalizedigital/accessibility-checker/blob/5967ff727f93cd8ab7cd762b5972a48716d1dba9/includes/classes/class-rest-api.php#L241","						do_action( 'edac_after_rule', $post_id, $rule_id, 'js' );                 "
"https://github.com/equalizedigital/accessibility-checker/blob/5967ff727f93cd8ab7cd762b5972a48716d1dba9/includes/classes/class-rest-api.php#L247","			do_action( 'edac_after_validate', $post_id, 'js' );                 "
"https://github.com/equalizedigital/accessibility-checker/blob/5967ff727f93cd8ab7cd762b5972a48716d1dba9/includes/classes/class-simplified-summary.php#L64","		$simplified_summary_heading = apply_filters(                 "
"https://github.com/equalizedigital/accessibility-checker/blob/5967ff727f93cd8ab7cd762b5972a48716d1dba9/includes/helper-functions.php#L289","	$post_types = apply_filters( 'edac_filter_post_types', array( 'post', 'page' ) );                 "
"https://github.com/equalizedigital/accessibility-checker/blob/5967ff727f93cd8ab7cd762b5972a48716d1dba9/includes/options-page.php#L53","	$settings_capability = apply_filters( 'edac_filter_settings_capability', 'manage_options' );                 "
"https://github.com/equalizedigital/accessibility-checker/blob/5967ff727f93cd8ab7cd762b5972a48716d1dba9/accessibility-checker.php#L158","	$default_rules = apply_filters( 'edac_filter_register_rules', $default_rules );                 "
"https://github.com/equalizedigital/accessibility-checker/blob/5967ff727f93cd8ab7cd762b5972a48716d1dba9/tests/phpunit/Admin/MetaBoxesTest.php#L31","		do_action( 'add_meta_boxes' );                 "
"https://github.com/equalizedigital/accessibility-checker/blob/5967ff727f93cd8ab7cd762b5972a48716d1dba9/admin/class-admin-notices.php#L351","		return apply_filters(                 "
"https://github.com/equalizedigital/accessibility-checker/blob/5967ff727f93cd8ab7cd762b5972a48716d1dba9/admin/class-ajax.php#L292","			$ignore_permission = apply_filters( 'edac_ignore_permission', true );                 "
"https://github.com/equalizedigital/accessibility-checker/blob/5967ff727f93cd8ab7cd762b5972a48716d1dba9/admin/class-ajax.php#L500","		$content                        = apply_filters( 'the_content', $content );                 "
"https://github.com/equalizedigital/accessibility-checker/blob/5967ff727f93cd8ab7cd762b5972a48716d1dba9/admin/class-ajax.php#L511","		$content = apply_filters( 'edac_filter_readability_content', $content, $post_id );                 "
"https://github.com/equalizedigital/accessibility-checker/blob/5967ff727f93cd8ab7cd762b5972a48716d1dba9/admin/class-meta-boxes.php#L57","		do_action( 'edac_before_meta_box' );                 "
"https://github.com/equalizedigital/accessibility-checker/blob/5967ff727f93cd8ab7cd762b5972a48716d1dba9/admin/class-meta-boxes.php#L59","		do_action( 'edac_after_meta_box' );                 "
"https://github.com/equalizedigital/accessibility-checker/blob/5967ff727f93cd8ab7cd762b5972a48716d1dba9/admin/class-helpers.php#L231","		return current_user_can( apply_filters( 'edac_filter_dashboard_widget_capability', 'edit_posts' ) );                 "
"https://github.com/equalizedigital/accessibility-checker/blob/5967ff727f93cd8ab7cd762b5972a48716d1dba9/admin/class-insert-rule-data.php#L114","			$rule_data = apply_filters( 'edac_filter_insert_rule_data', $rule_data );                 "
"https://github.com/equalizedigital/accessibility-checker/blob/5967ff727f93cd8ab7cd762b5972a48716d1dba9/admin/site-health/class-information.php#L67","		return apply_filters( 'edac_debug_information', $information );                 "
"https://github.com/equalizedigital/accessibility-checker/blob/5967ff727f93cd8ab7cd762b5972a48716d1dba9/partials/settings-page.php#L9","$settings_tab_items = apply_filters(                 "
"https://github.com/equalizedigital/accessibility-checker/blob/5967ff727f93cd8ab7cd762b5972a48716d1dba9/partials/settings-page.php#L91","		<?php do_action( 'edac_settings_tab_content', $settings_tab ); ?>                 "
